hour,avg_vol,freq
0,447.0259615384615,1w
0,160.22430136986299,1d
0,63.81956164383561,4h
4,49.059890410958886,4h
8,51.74142465753425,4h
12,75.56408219178083,4h
16,68.15876712328767,4h
20,59.78414835164834,4h
0,31.0891506849315,1h
1,34.2346301369863,1h
2,30.486136986301375,1h
3,24.570164383561647,1h
4,23.430904109589008,1h
5,23.231068493150662,1h
6,23.676767123287657,1h
7,24.152109589041096,1h
8,26.231013698630132,1h
9,24.27153424657535,1h
10,24.30887671232877,1h
11,23.82112328767123,1h
12,29.15128767123286,1h
13,35.23539726027398,1h
14,42.87789041095892,1h
15,38.706520547945225,1h
16,34.781178082191786,1h
17,33.9348219178082,1h
18,31.764065934065936,1h
19,31.040961538461534,1h
20,31.123873626373612,1h
21,30.43706043956044,1h
22,29.986593406593382,1h
23,24.070164835164828,1h
0,21.18045205479451,30m
1,23.046684931506842,30m
2,20.809301369863018,30m
3,17.015753424657525,30m
4,16.181438356164364,30m
5,15.956999999999981,30m
6,16.331808219178075,30m
7,16.690589041095894,30m
8,18.090136986301363,30m
9,17.09682191780822,30m
10,17.20147945205479,30m
11,16.421424657534235,30m
12,19.98917808219177,30m
13,24.26187671232876,30m
14,29.33935616438356,30m
15,26.654808219178086,30m
16,24.33398630136986,30m
17,23.29090534979423,30m
18,21.929656593406595,30m
19,21.282802197802198,30m
20,21.719258241758233,30m
21,21.16369505494505,30m
22,20.72763736263735,30m
23,17.01773351648351,30m
0,14.755027397260267,15m
1,15.861595890410952,15m
2,14.186773972602746,15m
3,11.88906164383561,15m
4,11.107472602739719,15m
5,11.100041095890399,15m
6,11.28286986301369,15m
7,11.513,15m
8,12.478595890410956,15m
9,11.897246575342468,15m
10,11.90006164383561,15m
11,11.50161643835616,15m
12,13.89796575342465,15m
13,16.772445205479446,15m
14,20.18251369863013,15m
15,18.51831506849315,15m
16,17.00417123287671,15m
17,16.08094650205761,15m
18,15.256717032967032,15m
19,14.63585164835164,15m
20,14.956249999999995,15m
21,14.405295329670322,15m
22,14.165631868131861,15m
23,11.873784340659332,15m
0,8.0782808219178,5m
1,8.477945205479445,5m
2,7.696924657534248,5m
3,6.457634703196341,5m
4,6.061050228310498,5m
5,5.919920091324196,5m
6,6.072824200913238,5m
7,6.287342465753422,5m
8,6.745557077625568,5m
9,6.509892694063926,5m
10,6.450534246575339,5m
11,6.320780821917803,5m
12,7.5539817351598115,5m
13,9.166239726027394,5m
14,11.120495433789948,5m
15,10.294385844748854,5m
16,9.48280136986301,5m
17,8.767382258802005,5m
18,8.477239010989004,5m
19,8.026943681318674,5m
20,8.13880494505494,5m
21,7.7439514652014605,5m
22,7.507543498168494,5m
23,6.5149793956043895,5m
0,3.1863324200913206,1m
1,3.3321621004566158,1m
2,3.0192438356164373,1m
3,2.5593589041095863,1m
4,2.3515369863013693,1m
5,2.2846981735159826,1m
6,2.353196803652967,1m
7,2.451111415525115,1m
8,2.6465945205479438,1m
9,2.5392438356164373,1m
10,2.5268013698630143,1m
11,2.4845534246575336,1m
12,2.987329680365295,1m
13,3.675214155251139,1m
14,4.480391780821913,1m
15,4.210773972602735,1m
16,3.8415899543378957,1m
17,3.528058896154368,1m
18,3.3976620879120847,1m
19,3.2497870879120834,1m
20,3.2151817765567734,1m
21,2.928629120879121,1m
22,2.8657788461538454,1m
23,2.5664258241758175,1m
